from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
33,33,,,246103924610401+1904492+1,246103924610401+1904093+1,1,
33,33,,,246104624610563+1904495+1,246104624610563+1904097+1,1,
33,33,,,246106724610842+1904495+1,246106724610842+1904097+1,1,
33,33,,,246108924610913+1904495+1,246108924610913+1904097+1,1,
33,33,,,246103624610435+1904511+1,246103624610435+1904104+1,1,
33,33,,,246104624610564+1904513+1,246104624610564+1904105+1,1,
33,33,,,246106124610633+1904513+1,246106124610633+1904105+1,1,
33,33,,,246106124610634+1904513+1,246106124610634+1904105+1,1,
33,33,,,246104624610561+1904513+1,246104624610561+1904116+1,1,
33,33,,,246106124610634+1904513+1,246106124610634+1904116+1,1,
33,33,,,246106124610634+1904525+1,246106124610634+1904134+1,1,
33,33,,,246106724610842+1904525+1,246106724610842+1904134+1,1,
33,33,,,246108924610913+1904525+1,246108924610913+1904134+1,1,
33,33,,,246104624610564+1904531+1,246104624610564+1904169+1,1,
33,33,,,246109524611753+1904531+1,246109524611753+1904169+1,1,
33,33,,,246104624610561+1904562+1,246104624610561+1904190+1,1,
33,33,,,246104624610562+1904562+1,246104624610562+1904190+1,1,
33,33,,,246106124610632+1904562+1,246106124610632+1904190+1,1,
33,33,,,246103624611765+1904574+1,246105024611765+1904202+1,1,
33,33,,,246106124610633+1904576+1,246106124610633+1904201+1,1,
33,33,,,246106124610633+1904577+1,246106124610633+1904201+1,1,
33,33,,,246104624610562+1904577+1,246104624610562+1904201+1,1,
33,33,,,246108924610913+1904577+1,246108924610913+1904201+1,1,
33,33,,,246103324610332+1904583+1,246103324610332+1904203+1,1,
33,33,,,246103424610343+1904584+1,246103424610343+1904204+1,1,
33,33,,,246104624610563+1904587+1,246104624610563+1904206+1,1,
33,33,,,246106724610842+1904587+1,246106724610842+1904206+1,1,
33,33,,,246106724610844+1904587+1,246106724610844+1904206+1,1,
33,33,,,246108924610913+1904587+1,246108924610913+1904206+1,1,
33,33,,,246109524611753+1904587+1,246109524611753+1904206+1,1,
33,33,,,246104624610563+1904598+1,246104624610563+1904226+1,1,
33,33,,,246104624610564+1904598+1,246104624610564+1904226+1,1,
33,33,,,246106724610842+1904598+1,246106724610842+1904226+1,1,
33,33,,,246109524611752+1904598+1,246109524611752+1904226+1,1,
33,33,,,246103324610332+1904603+1,246103324610332+1904234+1,1,
33,33,,,246104624610563+1904607+1,246104624610563+1904238+1,1,
33,33,,,246103424610343+1904614+0,246103424610343+1901710+0,1,
33,33,,,246106724610842+1904616+0,246106724610842+1901713+0,1,
33,33,,,246103924610401+1904618+0,246103924610401+1904248+0,1,
33,33,,,246103424610343+1904619+0,246103424610343+1904249+0,1,
33,33,,,246103624611765+1904620+0,246103624610435+1904250+0,1,
33,33,,,246106724610841+1904622+0,246106724610841+1904251+0,1,
33,33,,,246109524611751+1904622+0,246109524611751+1904251+0,1,
33,33,,,246103324610343+1904633+0,246103424610343+1904266+0,1,
33,33,,,246104624610562+1904636+0,246104624610562+1904269+0,1,
33,33,,,246109524611752+1904636+0,246109524611752+1904269+0,1,
33,33,,,246105024611765+1904637+0,246103624611765+1904267+0,1,
33,33,,,246103924610401+1904646+0,246103924610401+1904275+0,1,
33,33,,,246104624610562+1904650+0,246104624610562+1904278+0,1,
33,33,,,246104624610563+1904650+0,246104624610563+1904278+0,1,
33,33,,,246106724610844+1904650+0,246106724610844+1904278+0,1,
33,33,,,246108924610914+1904650+0,246108924610914+1904278+0,1,
33,33,,,246109524611753+1904650+0,246109524611753+1904278+0,1,
33,33,,,246106724610841+1904665+0,246106724610841+1904294+0,1,
33,33,,,246108924610913+1904665+0,246108924610913+1904294+0,1,
33,33,,,246109524611753+1904665+0,246109524611753+1904294+0,1,
33,33,,,246109524611754+1904665+0,246109524611754+1904294+0,1,
33,33,,,246106124610633+1904671+0,246106124610633+1904306+0,1,
33,33,,,246106724610842+1904671+0,246106724610842+1904306+0,1,
33,33,,,246106724610844+1904671+0,246106724610844+1904306+0,1,
33,33,,,246109524611754+1904671+0,246109524611754+1904306+0,1,
33,33,,,246106724610844+1904683+0,246106724610844+1904321+0,1,
33,33,,,246108924610913+1904683+0,246108924610913+1904321+0,1,
33,33,,,246106124610632+1904693+0,246106124610632+1904342+0,1,
33,33,,,246103924610401+1904896+0,246103924610401+1904358+0,1,
33,33,,,246104624610563+1904900+0,246104624610563+1904362+0,1,
33,33,,,246104624610564+1904900+0,246104624610564+1904362+0,1,
33,33,,,246106124610632+1904900+0,246106124610632+1904362+0,1,
33,33,,,246106724610841+1904900+0,246106724610841+1904362+0,1,
33,33,,,246103324610332+1905012+0,246103324610342+1904368+0,1,
33,33,,,246103924610401+1905012+0,246103924610401+1904368+0,1,
33,33,,,246109524611753+1905016+0,246109524611753+1904371+0,1,
33,33,,,246106724610841+1905089+0,246106724610841+1904381+0,1,
33,33,,,246109524611753+1905089+0,246109524611753+1904381+0,1,
33,33,,,246103424610343+1905104+0,246103424610343+1904384+0,1,
33,33,,,246104624610563+1905107+0,246104624610563+1904387+0,1,
33,33,,,246106724610843+1905107+0,246106724610843+1904387+0,1,
33,33,,,246106724610844+1905107+0,246106724610844+1904387+0,1,
33,33,,,246108924610914+1905107+0,246108924610914+1904387+0,1,
33,33,,,246103824610527+1905133+0,246103824610527+1904729+0,1,
33,33,,,246106024610656+1905135+0,246106024610656+1904731+0,1,
33,33,,,246110024611776+1905135+0,246110024611776+1904731+0,1,
33,33,,,246108724610877+1905136+0,246108724610877+1904732+0,1,
33,33,,,246103724610446+1905149+0,246103724610446+1904745+0,1,
33,33,,,246103724610446+1905161+0,246103724610446+1904762+0,1,
33,33,,,246109424611717+1905162+0,246109424611717+1904763+0,1,
33,33,,,246106024610656+1905164+0,246106024610656+1904765+0,1,
33,33,,,246108824610931+1905164+0,246108824610931+1904765+0,1,
33,33,,,246106724610844+1905177+0,246106724610844+1904397+0,1,
33,33,,,246104424610446+1905183+0,246103724610446+1904783+0,1,
33,33,,,246106024610651+1905201+0,246106024610651+1904807+0,1,
33,33,,,246107224610866+1905201+0,246107224610866+1904807+0,1,
33,33,,,246108824610936+1905201+0,246108824610936+1904807+0,1,
33,33,,,246108724610877+1905202+0,246108724610877+1904808+0,1,
33,33,,,246105924610597+1905220+0,246105924610597+1904831+0,1,
33,33,,,246107224610866+1905236+0,246107224610866+1904853+0,1,
33,33,,,246106024610656+1905263+0,246106024610656+1904906+0,1,
33,33,,,246108824610931+1905263+0,246108824610931+1904906+0,1,
33,33,,,246110024611776+1905263+0,246110024611776+1904906+0,1,
33,33,,,246103824610527+1905277+0,246103824610527+1904926+0,1,
33,33,,,246106024610651+1905280+0,246106024610651+1904928+0,1,
33,33,,,246108824610931+1905280+0,246108824610931+1904928+0,1,
33,33,,,246103724610376+1905300+0,246103724610446+1904946+0,1,
33,33,,,246107224610866+1905304+0,246107224610866+1904949+0,1,
33,33,,,246110024611776+1905304+0,246110024611776+1904949+0,1,
33,33,,,246105924610597+1905305+0,246105924610597+1904950+0,1,
33,33,,,246109424611717+1905319+0,246109424611717+1904972+0,1,
33,33,,,246108824610936+1905322+0,246108824610936+1904974+0,1,
33,33,,,246106024610651+1905334+0,246106024610651+1904996+0,1,
33,33,,,246104124610413+1905344+0,246104124610413+1904410+0,1,
33,33,,,246106724610844+1905345+0,246106724610844+1904411+0,1,
33,33,,,246109524611754+1905345+0,246109524611754+1904411+0,1,
33,33,,,246110024611776+1905351+0,246110024611776+1905021+0,1,
33,33,,,246107224610866+1905363+0,246107224610866+1905041+0,1,
33,33,,,246110024611776+1905363+0,246110024611776+1905041+0,1,
33,33,,,246106024610651+1905375+0,246106024610651+1905057+0,1,
33,33,,,246103824610527+1905388+0,246103824610527+1905076+0,1,
33,33,,,246106024610651+1905390+0,246106024610651+1905078+0,1,
33,33,,,246107224610866+1905390+0,246107224610866+1905078+0,1,
33,33,,,246105924610597+1905397+0,246105924610597+1905085+0,1,
33,33,,,246104124610413+1905412+0,246104124610413+1904422+0,1,
33,33,,,246104624610562+1905413+0,246104624610562+1904423+0,1,
33,33,,,246106124610632+1905413+0,246106124610632+1904423+0,1,
33,33,,,246109524611752+1905413+0,246109524611752+1904423+0,1,
33,33,,,246104624610562+1905421+0,246104624610562+1904434+0,1,
33,33,,,246106124610632+1905421+0,246106124610632+1904434+0,1,
33,33,,,246106124610633+1905421+0,246106124610633+1904434+0,1,
33,33,,,246109524611751+1905421+0,246109524611751+1904434+0,1,
33,33,,,246103624611765+1905431+0,246105024611765+1904454+0,1,
33,33,,,246104124610413+1905432+0,246104124610413+1904452+0,1,
33,33,,,246104624610564+1905433+0,246104624610564+1904453+0,1,
33,33,,,246104124610413+1904478+0,246104124610413+1904069+1,1,
33,33,,,246104624610564+1904495+1,246104624610564+1904097+1,1,
33,33,,,246106124610634+1904495+1,246106124610634+1904097+1,1,
33,33,,,246106724610844+1904495+1,246106724610844+1904097+1,1,
33,33,,,246109524611751+1904495+1,246109524611751+1904097+1,1,
33,33,,,246105024611765+1904496+1,246103624611765+1904095+1,1,
33,33,,,246106724610842+1904513+1,246106724610842+1904105+1,1,
33,33,,,246108924610914+1904513+1,246108924610914+1904105+1,1,
33,33,,,246109524611751+1904513+1,246109524611751+1904105+1,1,
33,33,,,246103924610401+1904521+1,246103924610401+1904132+1,1,
33,33,,,246104624610564+1904525+1,246104624610564+1904134+1,1,
33,33,,,246106124610632+1904525+1,246106124610632+1904134+1,1,
33,33,,,246106724610844+1904525+1,246106724610844+1904134+1,1,
33,33,,,246108924610912+1904525+1,246108924610912+1904134+1,1,
33,33,,,246103324610332+1904527+1,246103324610342+1904166+1,1,
33,33,,,246104624610561+1904531+1,246104624610561+1904169+1,1,
33,33,,,246103624611765+1904560+1,246103624610435+1904188+1,1,
33,33,,,246106724610843+1904562+1,246106724610843+1904190+1,1,
33,33,,,246103324610342+1904573+1,246103324610332+1904198+1,1,
33,33,,,246103324610343+1904573+1,246103424610343+1904199+1,1,
33,33,,,246104624610563+1904576+1,246104624610563+1904201+1,1,
33,33,,,246106724610841+1904576+1,246106724610841+1904201+1,1,
33,33,,,246106724610842+1904576+1,246106724610842+1904201+1,1,
33,33,,,246108924610913+1904576+1,246108924610913+1904201+1,1,
33,33,,,246108924610914+1904576+1,246108924610914+1904201+1,1,
33,33,,,246109524611754+1904576+1,246109524611754+1904201+1,1,
33,33,,,246104624610561+1904577+1,246104624610561+1904201+1,1,
33,33,,,246106724610841+1904577+1,246106724610841+1904201+1,1,
33,33,,,246106724610842+1904577+1,246106724610842+1904201+1,1,
33,33,,,246103924610401+1904583+1,246103924610401+1904203+1,1,
33,33,,,246106724610843+1904587+1,246106724610843+1904206+1,1,
33,33,,,246108924610912+1904587+1,246108924610912+1904206+1,1,
33,33,,,246103324610332+1904594+1,246103324610342+1904223+1,1,
33,33,,,246103624611765+1904596+1,246105024611765+1904227+1,1,
33,33,,,246104124610413+1904597+1,246104124610413+1904225+1,1,
33,33,,,246108924610913+1904598+1,246108924610913+1904226+1,1,
33,33,,,246108924610914+1904598+1,246108924610914+1904226+1,1,
33,33,,,246106124610633+1904607+1,246106124610633+1904238+1,1,
33,33,,,246109524611752+1904607+1,246109524611752+1904238+1,1,
33,33,,,246108924610912+1904616+0,246108924610912+1901713+0,1,
33,33,,,246109524611752+1904616+0,246109524611752+1901713+0,1,
33,33,,,246106124610634+1904636+0,246106124610634+1904269+0,1,
33,33,,,246108924610912+1904636+0,246108924610912+1904269+0,1,
33,33,,,246108924610914+1904636+0,246108924610914+1904269+0,1,
33,33,,,246103324610332+1904646+0,246103324610342+1904275+0,1,
33,33,,,246106724610841+1904650+0,246106724610841+1904278+0,1,
33,33,,,246103324610332+1904661+0,246103324610332+1904290+0,1,
33,33,,,246103424610343+1904662+0,246103424610343+1904291+0,1,
33,33,,,246104624610562+1904665+0,246104624610562+1904294+0,1,
33,33,,,246103924610402+1904667+0,246103924610402+1904302+0,1,
33,33,,,246108924610912+1904683+0,246108924610912+1904321+0,1,
33,33,,,246109524611751+1904683+0,246109524611751+1904321+0,1,
